symbol,sector,subsector,indicator,signal,pattern,pattern_conf,confidence,win_rate,win_rate_stock,win_rate_sector,stock_n,sector_n,avg_return,price,tp1_price,tp2_price,sl_price,date,tier,volume_confirmed
1788.HK,Finance,Finance,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.3217,,0.3217,0,976,0.0474,2.865,3.0,3.14,2.84,2026-08-14,3,False
2601.HK,Finance,Finance,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.3217,,0.3217,0,976,0.0474,28.36,29.7,31.05,28.08,2026-08-14,3,False
3328.HK,Finance,Finance,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.3217,,0.3217,0,976,0.0474,7.245,7.59,7.93,7.17,2026-08-14,3,False
0267.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 維持強勢 (50-70),None,0.0,0.51,0.3194,0.3194,0.3356,72,3424,0.0042,11.94,11.99,12.04,11.82,2026-08-14,3,False
0016.HK,Properties,Properties,RSI,RSI 加速上升,None,0.0,0.5525,0.3171,0.3171,0.261,82,567,0.0085,117.6,118.6,119.6,116.42,2026-08-13,3,False
1211.HK,Commerce & Industry,Commerce & Industry,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.3151,0.3151,0.3474,73,3221,-0.0148,88.25,86.94,85.64,87.37,2026-08-14,3,False
2688.HK,Utilities,Utilities,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.3115,0.3115,0.249,61,7232,0.0093,46.4,46.83,47.26,45.94,2026-08-14,3,False
3309.HK,Commerce & Industry,Commerce & Industry,KDJ,KDJ 超賣區金叉,None,0.0,0.5599999999999999,0.3046,,0.3046,0,151,-0.001,0.895,0.89,0.89,0.89,2026-08-12,3,False
2638.HK,Utilities,Utilities,KDJ,KDJ 金叉,None,0.0,0.5525,0.3001,,0.3001,0,713,0.0052,6.47,6.5,6.54,6.41,2026-08-14,3,False
1797.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 加速上升,None,0.0,0.5525,0.2979,,0.2979,0,2269,-0.0004,21.42,21.41,21.4,21.21,2026-08-13,3,False
0386.HK,Commerce & Industry,Commerce & Industry,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.2976,0.2976,0.3474,84,3221,0.0044,4.22,4.24,4.26,4.18,2026-08-13,3,False
3988.HK,Finance,Finance,RSI,RSI 上穿 50 中性線,None,0.0,0.4675,0.2941,0.2941,0.375,17,88,0.0088,5.285,5.33,5.38,5.23,2026-08-13,3,False
2007.HK,Properties,Properties,RSI,RSI 維持強勢 (50-70),None,0.0,0.51,0.2935,,0.2935,0,1029,-0.0002,0.192,0.19,0.19,0.19,2026-08-12,3,False
1928.HK,Commerce & Industry,Commerce & Industry,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.2931,0.2931,0.3474,58,3221,-0.0117,14.16,13.99,13.83,14.02,2026-08-14,3,False
1209.HK,Properties,Properties,KDJ,KDJ 金叉,None,0.0,0.5525,0.2857,0.2857,0.325,14,80,0.0015,41.0,41.06,41.12,40.59,2026-08-12,3,False
