market,indicator,signal,direction,pattern_name,count,win_rate,avg_return
S&P 500,EMA,EMA 多頭排列 (20>50>200),bullish,Bullish Harami,2478,0.20258272800645682,-0.00924921542790381
S&P 500,EMA,EMA 多頭排列 (20>50>200),bullish,Support,1830,0.1989071038251366,-0.006490934645909784
S&P 500,EMA,EMA 多頭排列 (20>50>200),bullish,Ascending Triangle,42,0.16666666666666666,0.0007931187121338757
S&P 500,KDJ,KDJ J 值極高 (>100),bearish,Bear Flag,17,0.5882352941176471,0.006862769079858421
S&P 500,KDJ,KDJ J 值極高 (>100),bearish,無形態,2106,0.5028490028490028,0.02358731296284792
S&P 500,KDJ,KDJ 超買區死叉,bearish,無形態,222,0.43243243243243246,0.018703441410807955
S&P 500,KDJ,KDJ 超買區死叉,bearish,Bearish Harami,54,0.3888888888888889,0.020716491965114495
S&P 500,KDJ,KDJ 超買區死叉,bearish,Evening Star,88,0.38636363636363635,0.017905793567330842
S&P 500,KDJ,KDJ 死叉,bearish,Bearish Engulfing,1231,0.3850528025995126,0.010815354316062125
S&P 500,KDJ,KDJ 超買區死叉,bearish,Shooting Star,216,0.38425925925925924,0.01507204627371299
S&P 500,KDJ,KDJ 死叉,bearish,Bearish Harami,752,0.3670212765957447,0.010967136619805693
S&P 500,KDJ,KDJ J 值極高 (>100),bearish,Bearish Harami,626,0.365814696485623,0.008107086188350477
S&P 500,KDJ,KDJ 死叉,bearish,無形態,2405,0.3567567567567568,0.00671591614128554
S&P 500,KDJ,KDJ 死叉,bearish,Shooting Star,2729,0.3565408574569439,0.008800839785515253
S&P 500,KDJ,KDJ 超買區死叉,bearish,Bearish Engulfing,136,0.34558823529411764,0.013615263585487229
S&P 500,KDJ,KDJ 死叉,bearish,Evening Star,562,0.34519572953736655,0.004572196810693687
S&P 500,KDJ,KDJ J 值極高 (>100),bearish,Shooting Star,1341,0.3243847874720358,0.002810421263726616
S&P 500,KDJ,KDJ 死叉,bearish,Double Top,881,0.2758229284903519,-0.009804208484794423
S&P 500,KDJ,KDJ J 值極高 (>100),bearish,Bearish Engulfing,988,0.2732793522267207,-0.0035692819674309614
S&P 500,KDJ,KDJ 死叉,bearish,Resistance,303,0.26732673267326734,-0.0038317577045282308
S&P 500,KDJ,KDJ 超買區死叉,bearish,Double Top,50,0.26,-0.009486406920612705
S&P 500,KDJ,KDJ 超買區死叉,bearish,Resistance,82,0.23170731707317074,-0.005018686786521575
S&P 500,KDJ,KDJ 死叉,bearish,Head & Shoulders,1342,0.21087928464977646,-0.005516640875364572
S&P 500,KDJ,KDJ J 值極高 (>100),bearish,Resistance,197,0.20304568527918782,-0.014836239830360044
S&P 500,KDJ,KDJ J 值極高 (>100),bearish,Double Top,524,0.1965648854961832,-0.010765340240535201
S&P 500,KDJ,KDJ 超買區死叉,bearish,Head & Shoulders,72,0.19444444444444445,-0.0019735185919684973
S&P 500,KDJ,KDJ J 值極高 (>100),bearish,Evening Star,657,0.1643835616438356,-0.01584128170457028
S&P 500,KDJ,KDJ J 值極高 (>100),bearish,Head & Shoulders,634,0.15615141955835962,-0.01520420666520215
S&P 500,KDJ,KDJ 死叉,bearish,MA Bearish Alignment,21,0.047619047619047616,-0.010999514879183972
S&P 500,KDJ,KDJ J 值極低 (<0),bullish,Morning Star,1079,0.5041705282669138,0.020994212118403972
S&P 500,KDJ,KDJ 超賣區金叉,bullish,Support,224,0.4955357142857143,0.015249986902653587
S&P 500,KDJ,KDJ J 值極低 (<0),bullish,Support,1117,0.495076096687556,0.020379583647881064
S&P 500,KDJ,KDJ 金叉,bullish,Double Bottom,1681,0.45865556216537773,0.01939499110383413
S&P 500,KDJ,KDJ J 值極低 (<0),bullish,Bullish Engulfing,778,0.42287917737789205,0.00949787899543899
S&P 500,KDJ,KDJ 超賣區金叉,bullish,Morning Star,189,0.4074074074074074,0.010662156049885307
S&P 500,KDJ,KDJ J 值極低 (<0),bullish,Double Bottom,6646,0.3514896178152272,0.007787984018605478
S&P 500,KDJ,KDJ J 值極低 (<0),bullish,Inverse H&S,9133,0.34545056388919304,0.010212001429690847
S&P 500,KDJ,KDJ 金叉,bullish,Morning Star,676,0.33875739644970415,0.0052726512650272065
S&P 500,KDJ,KDJ 金叉,bullish,Inverse H&S,1583,0.32090966519267217,0.0068718675000737734
S&P 500,KDJ,KDJ 超賣區金叉,bullish,Double Bottom,952,0.3014705882352941,0.002397804036939383
S&P 500,KDJ,KDJ 金叉,bullish,Bullish Engulfing,593,0.29679595278246207,-0.0029796561472003047
S&P 500,KDJ,KDJ 金叉,bullish,Hammer,339,0.2949852507374631,0.0008246260226631129
S&P 500,KDJ,KDJ 超賣區金叉,bullish,Bullish Engulfing,80,0.2875,0.005121657361289047
S&P 500,KDJ,KDJ 超賣區金叉,bullish,Inverse H&S,1434,0.2859135285913529,0.005723738861230456
S&P 500,KDJ,KDJ J 值極低 (<0),bullish,Hammer,381,0.2782152230971129,-0.004192231347305296
S&P 500,KDJ,KDJ 金叉,bullish,無形態,3137,0.2763787057698438,-0.0030551663326927577
S&P 500,KDJ,KDJ 超賣區金叉,bullish,Hammer,66,0.2727272727272727,-0.0018415430291763206
S&P 500,KDJ,KDJ 超賣區金叉,bullish,Bullish Harami,348,0.27011494252873564,-0.004988312780412628
S&P 500,KDJ,KDJ 金叉,bullish,Bullish Harami,501,0.2634730538922156,-0.0077084015354458866
S&P 500,KDJ,KDJ J 值極低 (<0),bullish,Bullish Harami,2472,0.25161812297734626,-0.006922112773172304
S&P 500,KDJ,KDJ 超賣區金叉,bullish,無形態,2073,0.23540762180414856,-0.0049200877448447415
S&P 500,KDJ,KDJ 金叉,bullish,MA Bullish Alignment,13,0.23076923076923078,0.009528725147151597
S&P 500,KDJ,KDJ J 值極低 (<0),bullish,無形態,16150,0.2240247678018576,-0.005760407814983545
S&P 500,KDJ,KDJ 金叉,bullish,Support,358,0.21787709497206703,-0.012504155081290491
S&P 500,MACD,MACD 死叉 (空頭區),bearish,Resistance,65,0.5538461538461539,0.044813107692883616
S&P 500,MACD,MACD 死叉 (空頭區),bearish,Shooting Star,207,0.4492753623188406,0.011666844964108873
S&P 500,MACD,MACD 跌破 0 軸,bearish,Bearish Harami,215,0.4,0.010517657973867904
S&P 500,MACD,MACD 死叉 (多頭區),bearish,Bearish Engulfing,403,0.39950372208436724,0.013652073256504492
S&P 500,MACD,MACD 死叉 (空頭區),bearish,Bearish Harami,166,0.39759036144578314,0.011620107485428605
S&P 500,MACD,MACD 死叉 (多頭區),bearish,Shooting Star,942,0.39384288747346075,0.008609494934723719
S&P 500,MACD,MACD 死叉 (多頭區),bearish,Evening Star,189,0.37566137566137564,0.008504376006151863
S&P 500,MACD,MACD 跌破 0 軸,bearish,Evening Star,75,0.37333333333333335,0.004739303109138245
S&P 500,MACD,MACD 跌破 0 軸,bearish,Shooting Star,211,0.36492890995260663,0.008063946347597934
S&P 500,MACD,MACD 死叉 (多頭區),bearish,Bearish Harami,390,0.3641025641025641,0.009499827067915537
S&P 500,MACD,MACD 跌破 0 軸,bearish,Bearish Engulfing,158,0.34810126582278483,0.009311598531524861
S&P 500,MACD,MACD 死叉 (多頭區),bearish,無形態,1545,0.34433656957928804,0.007419134744394353
S&P 500,MACD,MACD 死叉 (空頭區),bearish,Bearish Engulfing,147,0.3401360544217687,0.004836319747291126
S&P 500,MACD,MACD 死叉 (空頭區),bearish,無形態,873,0.32989690721649484,0.003111489992238077
S&P 500,MACD,MACD 跌破 0 軸,bearish,無形態,1383,0.3297180043383948,0.002020710624519121
S&P 500,MACD,MACD 死叉 (空頭區),bearish,Evening Star,74,0.2702702702702703,-0.005509265818560487
S&P 500,MACD,MACD 死叉 (空頭區),bearish,Head & Shoulders,344,0.25872093023255816,0.0015190910209250648
S&P 500,MACD,MACD 死叉 (空頭區),bearish,Double Top,265,0.25660377358490566,-0.0058357842752699415
S&P 500,MACD,MACD 死叉 (多頭區),bearish,Double Top,307,0.250814332247557,-0.007981541562006745
