sector,signal,matched_pattern,has_pattern,volume_confirmed,count,win_rate,avg_return,improvement
Utilities,價格突破 EMA20,Morning Star,True,True,5,0.2,-0.018822227027680764,-0.053756260434056735
Industrials,BB 跌破下軌 (超賣),Bullish Engulfing,True,True,17,0.6470588235294118,0.048459550418298226,0.36383810280869106
Industrials,BB 突破上軌 (超買),Bearish Engulfing,True,True,28,0.5,0.02182393629480395,0.29963302752293575
Industrials,RSI 維持超買,Bearish Harami,True,True,13,0.15384615384615385,0.0018586319004383419,-0.04290181363352094
Industrials,MACD 突破 0 軸,Bullish Harami,True,False,9,0.2222222222222222,-0.015276446033120597,-0.05624451960415883
Industrials,MACD 跌破 0 軸,Bearish Engulfing,True,True,5,0.4,-0.017350623928653042,0.11773220747889024
Industrials,BB 跌破下軌 (超賣),Morning Star,True,True,10,0.4,0.015319598365555367,0.11677927927927928
Industrials,MACD 金叉 (空頭區),Bullish Engulfing,True,False,20,0.2,-0.004015607474324988,-0.11683168316831682
Industrials,RSI 維持超賣,Bullish Engulfing,True,True,15,0.5333333333333333,0.040162862769704204,0.24211911813096415
Industrials,價格突破 EMA20,Morning Star,True,True,13,0.38461538461538464,0.012720715694555879,0.09660896664506774
Financials,RSI 維持超賣,Hammer,True,False,14,0.42857142857142855,0.006634676833176215,-0.004615061883784355
Financials,RSI 超賣區域 (30),Bullish Engulfing,True,False,10,0.5,0.03024871999580613,0.1307277628032345
Financials,RSI 超買區域 (70),Shooting Star,True,True,8,0.25,-0.0016884741624499239,0.0590692124105012
Financials,BB 突破上軌 (超買),Shooting Star,True,True,21,0.19047619047619047,-0.00743066605134777,0.0005723443223443203
Consumer Discretionary,RSI 超買區域 (70),Evening Star,True,False,19,0.3684210526315789,0.024149355018960136,0.1473871845388873
Consumer Discretionary,BB 跌破下軌 (超賣),Morning Star,True,True,12,0.5,0.033629128817835884,0.21346938775510205
Consumer Discretionary,BB 突破上軌 (超買),Resistance,True,False,6,0.8333333333333334,0.03975750526493641,0.6122678097570933
Consumer Discretionary,RSI 維持超賣,Bullish Harami,True,True,17,0.23529411764705882,0.0022435992082210313,-0.13460384153661464
Consumer Discretionary,MACD 金叉 (空頭區),Bullish Harami,True,False,17,0.4117647058823529,0.004680980970742687,0.10575377692060428
Industrials,RSI 超賣區域 (30),Morning Star,True,True,5,0.4,0.02186428523120467,0.11198156682027655
Industrials,EMA 死亡交叉 (20 下穿 50),Bearish Engulfing,True,False,9,0.1111111111111111,0.00025464951144814726,-0.12213285671730711
Industrials,BB 跌破下軌 (超賣),Support,True,True,8,0.875,0.05444642346505581,0.5917792792792793
Financials,RSI 超賣區域 (30),Morning Star,True,False,19,0.7368421052631579,0.03387364030379661,0.36756986806639236
Materials,MACD 金叉 (空頭區),Hammer,True,False,5,0.4,0.007452626357430997,0.03431151241534991
Materials,RSI 超買區域 (70),Bearish Engulfing,True,False,19,0.3684210526315789,0.012379955754578963,0.10737687592475159
Materials,RSI 維持超賣,Bullish Harami,True,True,6,0.6666666666666666,0.01274731572339817,0.3581560283687943
Health Care,BB 突破上軌 (超買),Evening Star,True,True,21,0.38095238095238093,0.015008796864520996,0.1451142306633636
Consumer Discretionary,RSI 超賣區域 (30),Morning Star,True,False,14,0.5714285714285714,0.0355760325569384,0.22914669223394052
Consumer Discretionary,MACD 金叉 (空頭區),Bullish Engulfing,True,False,18,0.3888888888888889,0.0032128769750411367,0.08287795992714025
Consumer Discretionary,KDJ 超賣區金叉,Morning Star,True,False,34,0.47058823529411764,0.030741725694684696,0.12047882610374566
Consumer Discretionary,MACD 死叉 (空頭區),Bearish Harami,True,False,6,0.3333333333333333,-0.009709991490184745,0.0641025641025641
Consumer Discretionary,MACD 突破 0 軸,Bullish Harami,True,False,7,0.42857142857142855,0.013096137427252673,0.11853558627752175
Consumer Discretionary,KDJ 超賣區金叉,Bullish Engulfing,True,False,23,0.30434782608695654,0.006452844363824521,-0.04576158310341544
