pattern,pattern_dir,sector,count,wins,avg_ret,win_rate,combination,description,market
Morning Star,bullish,Communication Services,18,4,-0.006333349638499021,0.2222222222222222,A,形態 alone,S&P 500
Bear Flag,bearish,Consumer Discretionary,36,8,0.018709216717802082,0.2222222222222222,A+B+C,形態+指標+成交量,S&P 500
Bullish Engulfing,bullish,Consumer Staples,9,2,-0.013219123617796778,0.2222222222222222,A,形態 alone,HSI
Bear Flag,bearish,Utilities,590,131,-0.0020484739143973294,0.22203389830508474,A+B,形態+指標,S&P 500
Bear Flag,bearish,Utilities,590,131,-0.0020484739143973294,0.22203389830508474,A+B+D,形態+指標+Sector,S&P 500
Bearish Engulfing,bearish,Industrials,23,5,0.015755621050522584,0.21739130434782608,A+B+C,形態+指標+成交量,S&P 500
Bearish Engulfing,bearish,Energy,236,51,0.009828453373907293,0.21610169491525424,A,形態 alone,S&P 500
Bearish Engulfing,bearish,Energy,236,51,0.009828453373907293,0.21610169491525424,A+D,形態+Sector,S&P 500
Bear Flag,bearish,Utilities,2149,447,1.805800188923814e-05,0.2080037226617031,A,形態 alone,S&P 500
Bear Flag,bearish,Utilities,2149,447,1.805800188923814e-05,0.2080037226617031,A+D,形態+Sector,S&P 500
Bull Flag,bullish,Communication Services,29,6,-0.01947975022251219,0.20689655172413793,A+B+C,形態+指標+成交量,S&P 500
Bear Flag,bearish,Financials,137,28,0.01766750739551557,0.20437956204379562,A,形態 alone,HSI
Hammer,bullish,Consumer Staples,45,9,0.002876231888132551,0.2,A,形態 alone,S&P 500
Bullish Engulfing,bullish,Financials,10,2,-0.026002805158777353,0.2,A+B+C,形態+指標+成交量,S&P 500
Bearish Engulfing,bearish,Communication Services,25,5,0.014158062331455334,0.2,A+C,形態+成交量,S&P 500
Bullish Engulfing,bullish,Materials,5,1,0.010665259579284688,0.2,A+C,形態+成交量,S&P 500
Bearish Engulfing,bearish,Materials,20,4,0.022637785346764118,0.2,A+C,形態+成交量,S&P 500
Hammer,bullish,Consumer Discretionary,35,7,-0.020578048884774613,0.2,A+B,形態+指標,S&P 500
Bearish Engulfing,bearish,Real Estate,5,1,-0.009053329871902827,0.2,A+B+C,形態+指標+成交量,S&P 500
Morning Star,bullish,Consumer Staples,16,3,-0.012273988919619984,0.1875,A,形態 alone,S&P 500
Bear Flag,bearish,Consumer Staples,32,6,0.008057636782020832,0.1875,A+B+C,形態+指標+成交量,S&P 500
Evening Star,bearish,Consumer Staples,16,3,0.01095025207312018,0.1875,A,形態 alone,S&P 500
Bear Flag,bearish,Real Estate,11,2,0.006906530978405722,0.18181818181818182,A+C+D,形態+成交量+Sector,HSI
Bear Flag,bearish,Real Estate,11,2,0.006906530978405722,0.18181818181818182,A+C,形態+成交量,HSI
Bullish Engulfing,bullish,Consumer Discretionary,17,3,-0.009247199637128662,0.17647058823529413,A+C,形態+成交量,S&P 500
Bearish Engulfing,bearish,Materials,6,1,0.027387485943349252,0.16666666666666666,A+B+C,形態+指標+成交量,S&P 500
Evening Star,bearish,Real Estate,6,1,0.015110328390772157,0.16666666666666666,A+B,形態+指標,S&P 500
Bullish Engulfing,bullish,Industrials,12,2,-0.010900882354703852,0.16666666666666666,A+B+C,形態+指標+成交量,S&P 500
Bullish Engulfing,bullish,Health Care,6,1,-0.0266209489496122,0.16666666666666666,A,形態 alone,HSI
Bear Flag,bearish,Energy,36,6,0.01022463658890961,0.16666666666666666,A+C+D,形態+成交量+Sector,S&P 500
Bear Flag,bearish,Energy,36,6,0.01022463658890961,0.16666666666666666,A+C,形態+成交量,S&P 500
Evening Star,bearish,Energy,13,2,0.029470315947936813,0.15384615384615385,A+D,形態+Sector,S&P 500
Evening Star,bearish,Energy,13,2,0.029470315947936813,0.15384615384615385,A,形態 alone,S&P 500
Evening Star,bearish,Information Technology,7,1,0.04004384774476027,0.14285714285714285,A+C,形態+成交量,S&P 500
Evening Star,bearish,Information Technology,7,1,0.04004384774476027,0.14285714285714285,A+C+D,形態+成交量+Sector,S&P 500
Bear Flag,bearish,Health Care,14,2,0.028527703150683644,0.14285714285714285,A+B,形態+指標,HSI
Bullish Engulfing,bullish,Health Care,37,5,-0.025103007230297094,0.13513513513513514,A+C,形態+成交量,S&P 500
Bearish Engulfing,bearish,Real Estate,15,2,0.015491896498017542,0.13333333333333333,A+D,形態+Sector,HSI
Bearish Engulfing,bearish,Real Estate,15,2,0.015491896498017542,0.13333333333333333,A,形態 alone,HSI
Bullish Engulfing,bullish,Materials,26,3,0.004417820030113126,0.11538461538461539,A+B,形態+指標,S&P 500
Bullish Engulfing,bullish,Consumer Discretionary,9,1,-0.02435258721278337,0.1111111111111111,A+B+C,形態+指標+成交量,S&P 500
Hammer,bullish,Materials,10,1,-0.026729052884444555,0.1,A+B,形態+指標,S&P 500
Bear Flag,bearish,Financials,34,3,0.035636661491050256,0.08823529411764706,A+B,形態+指標,HSI
